	7.52				164.80				1.03				0.137
	7.29				170.00				0.906				0.124
	7.09				175.00				0.830				0.117
	6.80				182.30				0.745				0.110
	6.60				187.90				0.691				0.105
	6.40				193.70				0.655				0.102
	6.20				200.00				0.610				0.0984
	6.00				206.70				0.575				0.0958
	5.80				213.80				0.541				0.0932
	5.60				221.40				0.506				0.0903
	5.40				229.60				0.498				0.0922
	5.20				238.50				0.496				0.0955
	5.17				240.00				0.497				0.0962
	5.06				245.00				0.467				0.0922
	4.96				250.00				0.433				0.0872
	4.86				255.00				0.400				0.0823
	4.77				260.00				0.370				0.0776
	4.68				265.00				0.343				0.0733
	4.59				270.00				0.321				0.0699
	4.51				275.00				0.314				0.0696
	4.43				280.00				0.321				0.0724
	4.35				285.00				0.337				0.0774
	4.28				290.00				0.359				0.0840
	4.20				295.00				0.390				0.0927
	4.13				300.00				0.415				0.1004
	4.07				305.00				0.433				0.1064
	4.00				310.00				0.443				0.1107
	3.94				315.00				0.451				0.1146
	3.88				320.00				0.456				0.1177
	3.82				325.00				0.459				0.1202
	3.76				330.00				0.461				0.1226
	3.70				335.00				0.460				0.1243
	3.65				340.00				0.460				0.1260
	3.59				345.00				0.458				0.1274
	3.54				350.00				0.456				0.1286
	3.49				355.00				0.445				0.1274
	3.44				360.00				0.436				0.1266
	3.40				365.00				0.430				0.1266
	3.35				370.00				0.432				0.1290
	3.31				375.00				0.445				0.1347
	3.26				380.00				0.462				0.1417
	3.22				385.00				0.481				0.1493
	3.18				390.00				0.496				0.1561
	3.14				395.00				0.510				0.1625
	3.10				400.00				0.522				0.1683
	3.02				410.00				0.542				0.1792
	2.95				420.00				0.557				0.1887
	2.88				430.00				0.571				0.1980
	2.82				440.00				0.582				0.2067
	2.76				450.00				0.592				0.2148
	2.70				460.00				0.600				0.2227
	2.64				470.00				0.608				0.2303
	2.58				480.00				0.614				0.2376
	2.53				490.00				0.619				0.2447
	2.48				500.00				0.625				0.2519
	2.43				510.00				0.629				0.2588
	2.38				520.00				0.634				0.2657
	2.34				530.00				0.642				0.2744
	2.30				540.00				0.646				0.2813
	2.25				550.00				0.649				0.2878
	2.21				560.00				0.652				0.2945
	2.18				570.00				0.655				0.3009
	2.14				580.00				0.657				0.3075
	2.10				590.00				0.659				0.3138
	2.07				600.00				0.662				0.3202
	2.03				610.00				0.663				0.3263
	2.00				620.00				0.665				0.3325
	1.97				630.00				0.667				0.3388
	1.94				640.00				0.668				0.3449
	1.91				650.00				0.669				0.3509
	1.88				660.00				0.671				0.3569
	1.85				670.00				0.667				0.3606
	1.82				680.00				0.669				0.3668
	1.80				690.00				0.670				0.3727
	1.77				700.00				0.671				0.3788
	1.75				710.00				0.672				0.3849
	1.72				720.00				0.673				0.3905
	1.70				730.00				0.674				0.3966
	1.68				740.00				0.675				0.4027
	1.65				750.00				0.675				0.4082
	1.63				760.00				0.676				0.4140
	1.61				770.00				0.676				0.4196
	1.59				780.00				0.675				0.4248
	1.57				790.00				0.674				0.4294
	1.55				800.00				0.673				0.4339
	1.53				810.00				0.670				0.4373
	1.51				820.00				0.665				0.4394
	1.49				830.00				0.659				0.4409
	1.48				840.00				0.650				0.4404
	1.46				850.00				0.639				0.4381
	1.44				860.00				0.626				0.4343
	1.43				870.00				0.611				0.4286
	1.41				880.00				0.592				0.4203
	1.39				890.00				0.571				0.4097
	1.38				900.00				0.547				0.3967
	1.36				910.00				0.519				0.3809
	1.35				920.00				0.489				0.3631
	1.33				930.00				0.456				0.3421
	1.32				940.00				0.421				0.3193
	1.31				950.00				0.385				0.2946
	1.29				960.00				0.348				0.2692
	1.28				970.00				0.310				0.2423
	1.27				980.00				0.273				0.2156
	1.25				990.00				0.236				0.1885
	1.24				1000.00				0.201				0.1617
	1.23				1010.00				0.167				0.1358
	1.22				1020.00				0.135				0.1112
	1.20				1030.00				0.106				0.0884
	1.19				1040.00				0.081				0.0679
	1.18				1050.00				0.060				0.0507
	1.17				1060.00				0.043				0.0368
	1.16				1070.00				0.032				0.0274
	1.15				1080.00				0.024				0.0212
	1.14				1090.00				0.019				0.0164
	1.13				1100.00				0.014				0.0126
